cr286_balancingfr5id,cr286_end_date1,cr286_fr_balance,cr286_imbalance,importsequencenumber,cr286_negative_imbalance_settlement_price,cr286_positive_imbalance_settlement_price,cr286_start_date1,statuscode,statecode,cr286_system_trend,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit,createdonbehalfby.azureactivedirectoryobjectid,createdby.azureactivedirectoryobjectid,modifiedonbehalfby.azureactivedirectoryobjectid,modifiedby.azureactivedirectoryobjectid
69cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 6:00:00 AM,6508,,,5494,497,1/3/2021 5:30:00 AM,Active,Active,HAUSSE,4,,4547652,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
1abe44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 6:30:00 AM,6507,,,6743,6101,1/3/2021 6:00:00 AM,Active,Active,HAUSSE,4,,4547651,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
68cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 7:00:00 AM,6506,,,643,5818,1/3/2021 6:30:00 AM,Active,Active,HAUSSE,4,,4547650,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
19be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 7:30:00 AM,6505,,,6342,5738,1/3/2021 7:00:00 AM,Active,Active,HAUSSE,4,,4547649,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
67cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 8:00:00 AM,6504,,,6501,5881,1/3/2021 7:30:00 AM,Active,Active,HAUSSE,4,,4547648,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
66cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 8:30:00 AM,6503,,,4419,3999,1/3/2021 8:00:00 AM,Active,Active,BAISSE,4,,4547647,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
18be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 9:00:00 AM,6502,,,4775,4321,1/3/2021 8:30:00 AM,Active,Active,BAISSE,4,,4547646,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
17be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 9:30:00 AM,6501,,,4993,4517,1/3/2021 9:00:00 AM,Active,Active,BAISSE,4,,4547645,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
16be44f6-fba0-eb11-b1ac-000d3abf81e0,1/3/2021 10:00:00 AM,6500,,,4731,4281,1/3/2021 9:30:00 AM,Active,Active,BAISSE,4,,4547644,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
64cb71f4-fba0-eb11-b1ac-000d3abf81b4,1/3/2021 10:30:00 AM,6499,,,4699,4251,1/3/2021 10:00:00 AM,Active,Active,BAISSE,4,,4547643,b0ad65f1-4c00-eb11-a813-000d3a44ad35,,8ba26ba9-40e1-4648-b850-9a74edace74b,,8ba26ba9-40e1-4648-b850-9a74edace74b
